book_section,learning_goal_or_scope,chapters,concepts,practical_skills,evidence_or_output,prerequisites,connections
Foundations: computational thinking,represent problems through abstraction algorithms and simulation,2;4;19,decomposition representation algorithms agents models verification validation,define and implement a model run reproducible experiments explain limitations,model description code tests sensitivity analysis,arithmetic and basic programming,models become programs and evidence
Foundations: programming,write and reason about programs and their behaviour,3;4,values types control flow collections functions errors testing data structures,create test debug and explain small programs,working implementation tests and documented assumptions,prerequisite bridge,programs support later systems
Engineering: software development,turn requirements into a maintainable running system,5;7;8;10;19,requirements architecture domain models UML contracts quality security deployment,build test document and operate a system,traceability design rationale tests threat model and deployment notes,computational thinking and programming,code becomes a maintainable system
Engineering: interaction design,design and evaluate systems around human tasks,11;12;19,user research prototyping interaction flows usability accessibility evaluation,conduct research create prototypes evaluate with evidence,prototype history evaluation protocol findings and limitations,programming and systems thinking,interaction decisions shape architecture
Engineering: databases,represent shared state and update it safely,9;19,relational model SQL constraints normalisation transactions concurrency indexes security,create schema queries migrations and tests,schema rationale queries transaction tests and security analysis,programming and modelling,system state becomes durable data
People and practice: organisations,understand systems as sociotechnical arrangements,13;19,data information processes value governance adoption resistance implementation,analyse organisational context and justify an intervention,process map stakeholder analysis value claim and implementation risks,systems thinking and research literacy,technical design meets institutions and routines
People and practice: collaboration,coordinate iterative development and learning,14,iterations Scrum Kanban XP continuous integration technical debt teamwork process limits,plan deliver review test and improve increments,decision log review record retrospective and integration evidence,software engineering foundations,process influences quality and learning
Evidence: research,make claims that are proportionate to evidence,15;18,research questions literature concepts qualitative quantitative mixed methods validity ethics reproducibility,design and report a defensible investigation,protocol data or artefact analysis limitations and contribution,problem delimitation and systems thinking,system claims require evidence
Evidence: human-centred AI,connect probabilistic models to human tasks and institutions,16,training validation uncertainty trust fairness explainability human control,design evaluate and document AI-assisted interaction,baseline comparison error analysis uncertainty and escalation path,programming and research basics,probabilistic systems need human-centred evaluation
Evidence: entrepreneurship,investigate whether a digital product or service creates value,17,problem discovery users buyers business models experiments metrics ethics,run a bounded product experiment and interpret behaviour,experiment log threshold cost model result and pivot decision,systems and research basics,distribution and organisational context constrain products
Integration: complete case,connect problem discovery to implementation and evaluation,19,requirements domain model interaction architecture persistence testing deployment evaluation,trace a complete intervention and its limits,requirements matrix tests operational plan and evaluation argument,all preceding engineering foundations,artefact and evaluation are distinct contributions
Integration: project designs,combine the book's ideas in new domains,20,problem delimitation model design evidence reflection communication,develop a coherent project proposal or prototype,question model design evidence plan and reflection,all relevant chapters,abstraction and practice must remain connected
